geocod,regiao,con_code
1111601,Arcos de Valdevez,1601
1111602,Caminha,1602
1111603,Melgaço,1603
1111604,Monção,1604
1111605,Paredes de Coura,1605
1111606,Ponte da Barca,1606
1111607,Ponte de Lima,1607
1111608,Valença,1608
1111609,Viana do Castelo,1609
1111610,Vila Nova de Cerveira,1610
1120301,Amares,0301
1120302,Barcelos,0302
1120303,Braga,0303
1120306,Esposende,0306
1120310,Terras de Bouro,0310
1120313,Vila Verde,0313
1190304,Cabeceiras de Basto,0304
1190307,Fafe,0307
1190308,Guimarães,0308
1191705,Mondim de Basto,1705
1190309,Póvoa de Lanhoso,0309
1190311,Vieira do Minho,0311
1190312,Vila Nova de Famalicão,0312
1190314,Vizela,0314
11A0104,Arouca,0104
11A0107,Espinho,0107
11A1304,Gondomar,1304
11A1306,Maia,1306
11A1308,Matosinhos,1308
11A0113,Oliveira de Azeméis,0113
11A1310,Paredes,1310
11A1312,Porto,1312
11A1313,Póvoa de Varzim,1313
11A0109,Santa Maria da Feira,0109
11A1314,Santo Tirso,1314
11A0116,São João da Madeira,0116
11A1318,Trofa,1318
11A0119,Vale de Cambra,0119
11A1315,Valongo,1315
11A1316,Vila do Conde,1316
11A1317,Vila Nova de Gaia,1317
11B1702,Boticas,1702
11B1703,Chaves,1703
11B1706,Montalegre,1706
11B1709,Ribeira de Pena,1709
11B1712,Valpaços,1712
11B1713,Vila Pouca de Aguiar,1713
11C1301,Amarante,1301
11C1302,Baião,1302
11C0106,Castelo de Paiva,0106
11C0305,Celorico de Basto,0305
11C1804,Cinfães,1804
11C1303,Felgueiras,1303
11C1305,Lousada,1305
11C1307,Marco de Canaveses,1307
11C1309,Paços de Ferreira,1309
11C1311,Penafiel,1311
11C1813,Resende,1813
11D1701,Alijó,1701
11D1801,Armamar,1801
11D0403,Carrazeda de Ansiães,0403
11D0404,Freixo de Espada à Cinta,0404
11D1805,Lamego,1805
11D1704,Mesão Frio,1704
11D1807,Moimenta da Beira,1807
11D1707,Murça,1707
11D1812,Penedono,1812
11D1708,Peso da Régua,1708
11D1710,Sabrosa,1710
11D1711,Santa Marta de Penaguião,1711
11D1815,São João da Pesqueira,1815
11D1818,Sernancelhe,1818
11D1819,Tabuaço,1819
11D1820,Tarouca,1820
11D0409,Torre de Moncorvo,0409
11D0914,Vila Nova de Foz Côa,0914
11D1714,Vila Real,1714
11E0401,Alfândega da Fé,0401
11E0402,Bragança,0402
11E0405,Macedo de Cavaleiros,0405
11E0406,Miranda do Douro,0406
11E0407,Mirandela,0407
11E0408,Mogadouro,0408
11E0410,Vila Flor,0410
11E0411,Vimioso,0411
11E0412,Vinhais,0412
1910101,Águeda,0101
1910102,Albergaria-a-Velha,0102
1910103,Anadia,0103
1910105,Aveiro,0105
1910108,Estarreja,0108
1910110,Ílhavo,0110
1910112,Murtosa,0112
1910114,Oliveira do Bairro,0114
1910115,Ovar,0115
1910117,Sever do Vouga,0117
1910118,Vagos,0118
1920601,Arganil,0601
1920602,Cantanhede,0602
1920603,Coimbra,0603
1920604,Condeixa-a-Nova,0604
1920605,Figueira da Foz,0605
1920606,Góis,0606
1920607,Lousã,0607
1920111,Mealhada,0111
1920608,Mira,0608
1920609,Miranda do Corvo,0609
1920610,Montemor-o-Velho,0610
1921808,Mortágua,1808
1920611,Oliveira do Hospital,0611
1920612,Pampilhosa da Serra,0612
1920613,Penacova,0613
1920614,Penela,0614
1920615,Soure,0615
1920616,Tábua,0616
1920617,Vila Nova de Poiares,0617
1931002,Alvaiázere,1002
1931003,Ansião,1003
1931004,Batalha,1004
1931007,Castanheira de Pêra,1007
1931008,Figueiró dos Vinhos,1008
1931009,Leiria,1009
1931010,Marinha Grande,1010
