ano,trimestre,periodo,categoria,indice
2009,1,2009-T1,Novos,104.55
2009,1,2009-T1,Existentes,106.91
2009,1,2009-T1,Total,105.67
2009,2,2009-T2,Novos,104.77
2009,2,2009-T2,Existentes,108.58
2009,2,2009-T2,Total,106.65
2009,3,2009-T3,Novos,104.26
2009,3,2009-T3,Existentes,109.17
2009,3,2009-T3,Total,106.7
2009,4,2009-T4,Novos,104.21
2009,4,2009-T4,Existentes,110.04
2009,4,2009-T4,Total,107.13
2010,1,2010-T1,Novos,105.06
2010,1,2010-T1,Existentes,110.42
2010,1,2010-T1,Total,107.74
2010,2,2010-T2,Novos,105.6
2010,2,2010-T2,Existentes,110.72
2010,2,2010-T2,Total,108.16
2010,3,2010-T3,Novos,105.28
2010,3,2010-T3,Existentes,109.38
2010,3,2010-T3,Total,107.32
2010,4,2010-T4,Novos,104.8
2010,4,2010-T4,Existentes,107.68
2010,4,2010-T4,Total,106.21
2011,1,2011-T1,Novos,104.5
2011,1,2011-T1,Existentes,106.52
2011,1,2011-T1,Total,105.45
2011,2,2011-T2,Novos,102.5
2011,2,2011-T2,Existentes,104.0
2011,2,2011-T2,Total,103.18
2011,3,2011-T3,Novos,101.84
2011,3,2011-T3,Existentes,101.38
2011,3,2011-T3,Total,101.49
2011,4,2011-T4,Novos,99.56
2011,4,2011-T4,Existentes,97.29
2011,4,2011-T4,Total,98.25
2012,1,2012-T1,Novos,98.12
2012,1,2012-T1,Existentes,95.91
2012,1,2012-T1,Total,96.84
2012,2,2012-T2,Novos,95.0
2012,2,2012-T2,Existentes,94.4
2012,2,2012-T2,Total,94.64
2012,3,2012-T3,Novos,94.77
2012,3,2012-T3,Existentes,92.92
2012,3,2012-T3,Total,93.7
2012,4,2012-T4,Novos,94.84
2012,4,2012-T4,Existentes,93.94
2012,4,2012-T4,Total,94.31
2013,1,2013-T1,Novos,95.13
2013,1,2013-T1,Existentes,90.72
2013,1,2013-T1,Total,92.45
2013,2,2013-T2,Novos,93.36
2013,2,2013-T2,Existentes,91.51
2013,2,2013-T2,Total,92.25
2013,3,2013-T3,Novos,93.85
2013,3,2013-T3,Existentes,92.01
2013,3,2013-T3,Total,92.75
2013,4,2013-T4,Novos,95.38
2013,4,2013-T4,Existentes,94.55
2013,4,2013-T4,Total,94.89
2014,1,2014-T1,Novos,97.92
2014,1,2014-T1,Existentes,95.02
2014,1,2014-T1,Total,96.16
2014,2,2014-T2,Novos,99.41
2014,2,2014-T2,Existentes,96.6
2014,2,2014-T2,Total,97.7
2014,3,2014-T3,Novos,99.42
2014,3,2014-T3,Existentes,95.95
2014,3,2014-T3,Total,97.31
2014,4,2014-T4,Novos,96.57
2014,4,2014-T4,Existentes,97.19
2014,4,2014-T4,Total,96.98
2015,1,2015-T1,Novos,96.8
2015,1,2015-T1,Existentes,97.01
2015,1,2015-T1,Total,96.94
2015,2,2015-T2,Novos,101.9
2015,2,2015-T2,Existentes,99.89
2015,2,2015-T2,Total,100.57
2015,3,2015-T3,Novos,100.04
2015,3,2015-T3,Existentes,100.96
2015,3,2015-T3,Total,100.65
2015,4,2015-T4,Novos,101.26
2015,4,2015-T4,Existentes,102.14
2015,4,2015-T4,Total,101.84
2016,1,2016-T1,Novos,101.34
2016,1,2016-T1,Existentes,104.66
2016,1,2016-T1,Total,103.67
2016,2,2016-T2,Novos,103.46
2016,2,2016-T2,Existentes,108.34
2016,2,2016-T2,Total,106.91
2016,3,2016-T3,Novos,103.76
2016,3,2016-T3,Existentes,110.18
2016,3,2016-T3,Total,108.31
2016,4,2016-T4,Novos,104.77
2016,4,2016-T4,Existentes,111.53
2016,4,2016-T4,Total,109.57
2017,1,2017-T1,Novos,105.58
2017,1,2017-T1,Existentes,114.34
2017,1,2017-T1,Total,111.89
2017,2,2017-T2,Novos,109.02
2017,2,2017-T2,Existentes,118.03
2017,2,2017-T2,Total,115.51
2017,3,2017-T3,Novos,110.92
2017,3,2017-T3,Existentes,122.82
2017,3,2017-T3,Total,119.6
2017,4,2017-T4,Novos,110.96
2017,4,2017-T4,Existentes,124.72
2017,4,2017-T4,Total,121.06
2018,1,2018-T1,Novos,115.8
2018,1,2018-T1,Existentes,129.18
2018,1,2018-T1,Total,125.58
2018,2,2018-T2,Novos,115.86
2018,2,2018-T2,Existentes,132.9
2018,2,2018-T2,Total,128.49
2018,3,2018-T3,Novos,117.19
2018,3,2018-T3,Existentes,134.11
2018,3,2018-T3,Total,129.72
2018,4,2018-T4,Novos,120.34
2018,4,2018-T4,Existentes,136.6
2018,4,2018-T4,Total,132.34
2019,1,2019-T1,Novos,122.76
2019,1,2019-T1,Existentes,142.08
2019,1,2019-T1,Total,137.14
2019,2,2019-T2,Novos,127.88
2019,2,2019-T2,Existentes,145.19
2019,2,2019-T2,Total,140.65
2019,3,2019-T3,Novos,129.43
2019,3,2019-T3,Existentes,148.63
2019,3,2019-T3,Total,143.67
2019,4,2019-T4,Novos,130.27
2019,4,2019-T4,Existentes,151.48
2019,4,2019-T4,Total,146.07
2020,1,2020-T1,Novos,134.99
2020,1,2020-T1,Existentes,157.37
2020,1,2020-T1,Total,151.67
2020,2,2020-T2,Novos,136.94
2020,2,2020-T2,Existentes,160.28
2020,2,2020-T2,Total,154.34
2020,3,2020-T3,Novos,136.57
2020,3,2020-T3,Existentes,159.44
2020,3,2020-T3,Total,153.61
2020,4,2020-T4,Novos,140.27
2020,4,2020-T4,Existentes,163.64
2020,4,2020-T4,Total,157.69
2021,1,2021-T1,Novos,142.35
2021,1,2021-T1,Existentes,168.4
2021,1,2021-T1,Total,161.7
