ano,geocod,regiao,nivel,quartil,preco_m2
2022,1950502,Castelo Branco,Concelho,1.º quartil,398.0
2022,1950505,Idanha-a-Nova,Concelho,1.º quartil,128.0
2022,1950506,Oleiros,Concelho,1.º quartil,210.0
2022,1950507,Penamacor,Concelho,1.º quartil,152.0
2022,1950508,Proença-a-Nova,Concelho,1.º quartil,350.0
2022,1950509,Sertã,Concelho,1.º quartil,427.0
2022,1950510,Vila de Rei,Concelho,1.º quartil,201.0
2022,1950511,Vila Velha de Ródão,Concelho,1.º quartil,123.0
2022,196,Beiras e Serra da Estrela,NUTS III,1.º quartil,269.0
2022,1960501,Belmonte,Concelho,1.º quartil,300.0
2022,1960503,Covilhã,Concelho,1.º quartil,495.0
2022,1960504,Fundão,Concelho,1.º quartil,283.0
2022,1190311,Vieira do Minho,Concelho,1.º quartil,333.0
2022,1960902,Almeida,Concelho,1.º quartil,107.0
2022,1960903,Celorico da Beira,Concelho,1.º quartil,181.0
2022,1190309,Póvoa de Lanhoso,Concelho,1.º quartil,569.0
2022,1190312,Vila Nova de Famalicão,Concelho,1.º quartil,881.0
2022,1190314,Vizela,Concelho,1.º quartil,740.0
2022,1191705,Mondim de Basto,Concelho,1.º quartil,339.0
2022,11A,Área Metropolitana do Porto,NUTS III,1.º quartil,1167.0
2022,11A0107,Espinho,Concelho,1.º quartil,1167.0
2022,11A0109,Santa Maria da Feira,Concelho,1.º quartil,856.0
2022,11D0403,Carrazeda de Ansiães,Concelho,1.º quartil,142.0
2022,11D0404,Freixo de Espada à Cinta,Concelho,1.º quartil,
2022,11D0409,Torre de Moncorvo,Concelho,1.º quartil,159.0
2022,11D1711,Santa Marta de Penaguião,Concelho,1.º quartil,249.0
2022,11D1714,Vila Real,Concelho,1.º quartil,790.0
2022,11D1801,Armamar,Concelho,1.º quartil,101.0
2022,11D1805,Lamego,Concelho,1.º quartil,357.0
2022,11D1807,Moimenta da Beira,Concelho,1.º quartil,167.0
2022,11D1812,Penedono,Concelho,1.º quartil,
2022,1960904,Figueira de Castelo Rodrigo,Concelho,1.º quartil,89.0
2022,1960905,Fornos de Algodres,Concelho,1.º quartil,143.0
2022,1960906,Gouveia,Concelho,1.º quartil,227.0
2022,1960907,Guarda,Concelho,1.º quartil,487.0
2022,1960908,Manteigas,Concelho,1.º quartil,211.0
2022,1960909,Mêda,Concelho,1.º quartil,121.0
2022,1960910,Pinhel,Concelho,1.º quartil,94.0
2022,1960911,Sabugal,Concelho,1.º quartil,150.0
2022,1960912,Seia,Concelho,1.º quartil,233.0
2022,1960913,Trancoso,Concelho,1.º quartil,148.0
2022,1A01106,Lisboa,Concelho,1.º quartil,3015.0
2022,1A,Grande Lisboa,NUTS II,1.º quartil,1806.0
2022,1A0,Grande Lisboa,NUTS III,1.º quartil,1806.0
2022,11C1305,Lousada,Concelho,1.º quartil,629.0
2022,11C1301,Amarante,Concelho,1.º quartil,625.0
2022,11C1302,Baião,Concelho,1.º quartil,368.0
2022,11C1303,Felgueiras,Concelho,1.º quartil,583.0
2022,11C1307,Marco de Canaveses,Concelho,1.º quartil,517.0
2022,11C1309,Paços de Ferreira,Concelho,1.º quartil,740.0
2022,11C1311,Penafiel,Concelho,1.º quartil,583.0
2022,11C1804,Cinfães,Concelho,1.º quartil,195.0
2022,11C1813,Resende,Concelho,1.º quartil,176.0
2022,11D,Douro,NUTS III,1.º quartil,286.0
2022,1A01105,Cascais,Concelho,1.º quartil,2692.0
2022,1A01107,Loures,Concelho,1.º quartil,1667.0
2022,1A01109,Mafra,Concelho,1.º quartil,1593.0
2022,1A01110,Oeiras,Concelho,1.º quartil,2485.0
2022,1A01111,Sintra,Concelho,1.º quartil,1531.0
2022,1A01114,Vila Franca de Xira,Concelho,1.º quartil,1375.0
2022,1C,Alentejo,NUTS II,1.º quartil,414.0
2022,1C1,Alentejo Litoral,NUTS III,1.º quartil,925.0
2022,1C10211,Odemira,Concelho,1.º quartil,871.0
2022,1C11501,Alcácer do Sal,Concelho,1.º quartil,633.0
2022,1C11505,Grândola,Concelho,1.º quartil,1111.0
2022,1941816,São Pedro do Sul,Concelho,1.º quartil,453.0
2022,1941817,Sátão,Concelho,1.º quartil,207.0
2022,1941821,Tondela,Concelho,1.º quartil,296.0
2022,1941822,Vila Nova de Paiva,Concelho,1.º quartil,138.0
2022,1941823,Viseu,Concelho,1.º quartil,746.0
