ano,geocod,regiao,nivel,quartil,renda_m2
2022,1960913,Trancoso,Concelho,1.º quartil,1.44
2022,1C40713,Viana do Alentejo,Concelho,1.º quartil,1.55
2022,11E0410,Vila Flor,Concelho,1.º quartil,1.68
2022,1960910,Pinhel,Concelho,1.º quartil,1.71
2022,11E0406,Miranda do Douro,Concelho,1.º quartil,1.75
2022,1C31204,Campo Maior,Concelho,1.º quartil,1.78
2022,11B1712,Valpaços,Concelho,1.º quartil,1.79
2022,11D1820,Tarouca,Concelho,1.º quartil,1.79
2022,1C40714,Vila Viçosa,Concelho,1.º quartil,1.79
2022,1960903,Celorico da Beira,Concelho,1.º quartil,1.8
2022,1960906,Gouveia,Concelho,1.º quartil,1.81
2022,1931002,Alvaiázere,Concelho,1.º quartil,1.82
2022,1C40703,Borba,Concelho,1.º quartil,1.83
2022,1C31210,Marvão,Concelho,1.º quartil,1.84
2022,1D21413,Mação,Concelho,1.º quartil,1.84
2022,1960501,Belmonte,Concelho,1.º quartil,1.85
2022,11E0405,Macedo de Cavaleiros,Concelho,1.º quartil,1.91
2022,11C1307,Marco de Canaveses,Concelho,1.º quartil,1.92
2022,11E,Terras de Trás-os-Montes,NUTS III,1.º quartil,1.92
2022,11C0305,Celorico de Basto,Concelho,1.º quartil,1.93
2022,1920613,Penacova,Concelho,1.º quartil,1.93
2022,1941802,Carregal do Sal,Concelho,1.º quartil,1.94
2022,11D0914,Vila Nova de Foz Côa,Concelho,1.º quartil,1.98
2022,11E0408,Mogadouro,Concelho,1.º quartil,1.98
2022,11E0407,Mirandela,Concelho,1.º quartil,2
2022,1191705,Mondim de Basto,Concelho,1.º quartil,2.01
2022,11E0402,Bragança,Concelho,1.º quartil,2.01
2022,11C1302,Baião,Concelho,1.º quartil,2.09
2022,11C1303,Felgueiras,Concelho,1.º quartil,2.12
2022,11E0410,Vila Flor,Concelho,2.º quartil,2.14
2022,1C3,Alto Alentejo,NUTS III,1.º quartil,2.19
2022,1960913,Trancoso,Concelho,2.º quartil,2.2
2022,1950508,Proença-a-Nova,Concelho,1.º quartil,2.22
2022,1941803,Castro Daire,Concelho,1.º quartil,2.25
2022,1960910,Pinhel,Concelho,2.º quartil,2.25
2022,1C31207,Elvas,Concelho,1.º quartil,2.26
2022,11D1807,Moimenta da Beira,Concelho,1.º quartil,2.29
2022,1C40710,Redondo,Concelho,1.º quartil,2.29
2022,1D31407,Chamusca,Concelho,1.º quartil,2.31
2022,1920611,Oliveira do Hospital,Concelho,1.º quartil,2.32
2022,1931008,Figueiró dos Vinhos,Concelho,1.º quartil,2.33
2022,1941817,Sátão,Concelho,1.º quartil,2.33
2022,11C1804,Cinfães,Concelho,1.º quartil,2.34
2022,11D1820,Tarouca,Concelho,2.º quartil,2.34
2022,1960504,Fundão,Concelho,1.º quartil,2.35
2022,2004701,Horta,Concelho,1.º quartil,2.35
2022,1111603,Melgaço,Concelho,1.º quartil,2.37
2022,11C1305,Lousada,Concelho,1.º quartil,2.38
2022,1960911,Sabugal,Concelho,1.º quartil,2.38
2022,11C,Tâmega e Sousa,NUTS III,1.º quartil,2.39
2022,1941806,Mangualde,Concelho,1.º quartil,2.39
2022,11D0409,Torre de Moncorvo,Concelho,1.º quartil,2.4
2022,1941814,Santa Comba Dão,Concelho,1.º quartil,2.4
2022,1C20213,Serpa,Concelho,1.º quartil,2.4
2022,1C40703,Borba,Concelho,2.º quartil,2.4
2022,1C40704,Estremoz,Concelho,1.º quartil,2.41
2022,1931002,Alvaiázere,Concelho,2.º quartil,2.42
2022,1C31214,Portalegre,Concelho,1.º quartil,2.43
2022,11C0106,Castelo de Paiva,Concelho,1.º quartil,2.44
2022,1191705,Mondim de Basto,Concelho,2.º quartil,2.45
2022,1920617,Vila Nova de Poiares,Concelho,1.º quartil,2.46
2022,11C0305,Celorico de Basto,Concelho,2.º quartil,2.47
2022,11D,Douro,NUTS III,1.º quartil,2.47
2022,196,Beiras e Serra da Estrela,NUTS III,1.º quartil,2.47
2022,1960501,Belmonte,Concelho,2.º quartil,2.48
2022,1D21402,Alcanena,Concelho,1.º quartil,2.49
2022,1190307,Fafe,Concelho,1.º quartil,2.5
2022,11C1301,Amarante,Concelho,1.º quartil,2.5
2022,1941809,Nelas,Concelho,1.º quartil,2.5
2022,11D1805,Lamego,Concelho,1.º quartil,2.51
2022,1190309,Póvoa de Lanhoso,Concelho,1.º quartil,2.54
2022,1920613,Penacova,Concelho,2.º quartil,2.54
2022,1931016,Porto de Mós,Concelho,1.º quartil,2.54
2022,11E0405,Macedo de Cavaleiros,Concelho,2.º quartil,2.55
2022,11E0408,Mogadouro,Concelho,2.º quartil,2.55
2022,1960903,Celorico da Beira,Concelho,2.º quartil,2.55
2022,11D0914,Vila Nova de Foz Côa,Concelho,2.º quartil,2.56
2022,1920601,Arganil,Concelho,1.º quartil,2.56
2022,1190314,Vizela,Concelho,1.º quartil,2.57
2022,11B1713,Vila Pouca de Aguiar,Concelho,1.º quartil,2.57
2022,1921808,Mortágua,Concelho,1.º quartil,2.58
2022,1960912,Seia,Concelho,1.º quartil,2.58
2022,1920616,Tábua,Concelho,1.º quartil,2.6
2022,1941817,Sátão,Concelho,2.º quartil,2.6
2022,1D21411,Ferreira do Zêzere,Concelho,1.º quartil,2.6
2022,11E0406,Miranda do Douro,Concelho,2.º quartil,2.62
2022,1111605,Paredes de Coura,Concelho,1.º quartil,2.63
2022,1111610,Vila Nova de Cerveira,Concelho,1.º quartil,2.63
2022,1920608,Mira,Concelho,1.º quartil,2.63
2022,1960906,Gouveia,Concelho,2.º quartil,2.63
2022,1C20208,Ferreira do Alentejo,Concelho,1.º quartil,2.63
2022,1920609,Miranda do Corvo,Concelho,1.º quartil,2.64
2022,1C40702,Arraiolos,Concelho,1.º quartil,2.64
2022,1910117,Sever do Vouga,Concelho,1.º quartil,2.65
2022,1920615,Soure,Concelho,1.º quartil,2.65
2022,1931003,Ansião,Concelho,1.º quartil,2.65
2022,1C31213,Ponte de Sor,Concelho,1.º quartil,2.65
2022,1D31404,Alpiarça,Concelho,1.º quartil,2.65
2022,1111606,Ponte da Barca,Concelho,1.º quartil,2.66
2022,11A1314,Santo Tirso,Concelho,1.º quartil,2.66
2022,11C1309,Paços de Ferreira,Concelho,1.º quartil,2.67
2022,11D1708,Peso da Régua,Concelho,1.º quartil,2.67
2022,195,Beira Baixa,NUTS III,1.º quartil,2.67
2022,1C20210,Moura,Concelho,1.º quartil,2.68
2022,1111603,Melgaço,Concelho,2.º quartil,2.69
2022,1920607,Lousã,Concelho,1.º quartil,2.71
2022,1950508,Proença-a-Nova,Concelho,2.º quartil,2.73
2022,1190304,Cabeceiras de Basto,Concelho,1.º quartil,2.74
2022,11C1302,Baião,Concelho,2.º quartil,2.74
2022,11C1311,Penafiel,Concelho,1.º quartil,2.74
2022,11D1807,Moimenta da Beira,Concelho,2.º quartil,2.74
2022,1941824,Vouzela,Concelho,1.º quartil,2.75
2022,1920614,Penela,Concelho,1.º quartil,2.77
2022,1C40711,Reguengos de Monsaraz,Concelho,1.º quartil,2.77
2022,11D0409,Torre de Moncorvo,Concelho,2.º quartil,2.78
2022,1941803,Castro Daire,Concelho,2.º quartil,2.78
2022,1D31412,Golegã,Concelho,1.º quartil,2.78
2022,1941811,Penalva do Castelo,Concelho,1.º quartil,2.79
2022,1960503,Covilhã,Concelho,1.º quartil,2.8
2022,1960907,Guarda,Concelho,1.º quartil,2.81
2022,1D21413,Mação,Concelho,2.º quartil,2.81
2022,1941810,Oliveira de Frades,Concelho,1.º quartil,2.82
2022,1C31204,Campo Maior,Concelho,2.º quartil,2.82
2022,1111601,Arcos de Valdevez,Concelho,1.º quartil,2.83
2022,11A0119,Vale de Cambra,Concelho,1.º quartil,2.83
2022,11B1712,Valpaços,Concelho,2.º quartil,2.83
2022,3003102,Câmara de Lobos,Concelho,1.º quartil,2.83
2022,1D21401,Abrantes,Concelho,1.º quartil,2.84
2022,1D31407,Chamusca,Concelho,2.º quartil,2.84
2022,1C,Alentejo,NUTS II,1.º quartil,2.86
2022,1C31210,Marvão,Concelho,2.º quartil,2.86
2022,11A0104,Arouca,Concelho,1.º quartil,2.87
2022,11B,Alto Tâmega e Barroso,NUTS III,1.º quartil,2.87
2022,1950502,Castelo Branco,Concelho,1.º quartil,2.89
2022,119,Ave,NUTS III,1.º quartil,2.9
2022,2004301,Angra do Heroísmo,Concelho,1.º quartil,2.9
2022,1500809,Monchique,Concelho,1.º quartil,2.91
2022,3003101,Calheta (R.A.M.),Concelho,1.º quartil,2.91
2022,11C1303,Felgueiras,Concelho,2.º quartil,2.92
2022,11D1820,Tarouca,Concelho,3.º quartil,2.92
2022,1C2,Baixo Alentejo,NUTS III,1.º quartil,2.92
2022,11C1307,Marco de Canaveses,Concelho,2.º quartil,2.93
2022,1D21420,Vila Nova da Barquinha,Concelho,1.º quartil,2.94
2022,1120301,Amares,Concelho,1.º quartil,2.97
2022,1950509,Sertã,Concelho,1.º quartil,2.97
2022,1960911,Sabugal,Concelho,2.º quartil,2.97
2022,1C4,Alentejo Central,NUTS III,1.º quartil,2.97
2022,1910101,Águeda,Concelho,1.º quartil,2.99
2022,11A0113,Oliveira de Azeméis,Concelho,1.º quartil,3
2022,194,Viseu Dão Lafões,NUTS III,1.º quartil,3
2022,11E,Terras de Trás-os-Montes,NUTS III,2.º quartil,3.01
2022,11E0410,Vila Flor,Concelho,3.º quartil,3.01
2022,1941814,Santa Comba Dão,Concelho,2.º quartil,3.01
2022,1941809,Nelas,Concelho,2.º quartil,3.02
2022,11E0408,Mogadouro,Concelho,3.º quartil,3.03
2022,1910108,Estarreja,Concelho,1.º quartil,3.03
2022,1941806,Mangualde,Concelho,2.º quartil,3.03
2022,1120313,Vila Verde,Concelho,1.º quartil,3.04
2022,1931015,Pombal,Concelho,1.º quartil,3.04
2022,1C40706,Montemor-o-Novo,Concelho,1.º quartil,3.04
2022,1111608,Valença,Concelho,1.º quartil,3.05
2022,1920111,Mealhada,Concelho,1.º quartil,3.05
2022,1190304,Cabeceiras de Basto,Concelho,2.º quartil,3.07
2022,1D31409,Coruche,Concelho,1.º quartil,3.08
2022,1190308,Guimarães,Concelho,1.º quartil,3.09
2022,11A1310,Paredes,Concelho,1.º quartil,3.09
2022,1920602,Cantanhede,Concelho,1.º quartil,3.09
2022,1C20202,Almodôvar,Concelho,1.º quartil,3.09
2022,1C40712,Vendas Novas,Concelho,1.º quartil,3.09
2022,1D21419,Torres Novas,Concelho,1.º quartil,3.1
2022,2004205,Ribeira Grande,Concelho,1.º quartil,3.1
2022,2004502,Velas,Concelho,1.º quartil,3.1
2022,1921808,Mortágua,Concelho,2.º quartil,3.11
2022,1941816,São Pedro do Sul,Concelho,1.º quartil,3.11
2022,1960504,Fundão,Concelho,2.º quartil,3.11
2022,1C20206,Castro Verde,Concelho,1.º quartil,3.11
2022,1111602,Caminha,Concelho,1.º quartil,3.13
2022,1191705,Mondim de Basto,Concelho,3.º quartil,3.13
2022,11B1703,Chaves,Concelho,1.º quartil,3.13
